,question,classification
3293,Berapakah total gabungan kontribusi Uni Eropa dan Swiss di bidang kedokteran?,C
3294,Apa yang diungkapkan kartini dalam surat-suratnya?,A
3295,Pada tahun berapa pengenalan senjata api sejati terjadi di Indonesia?,C
3296,Di mana banyak terdapat pemukiman penduduk?,A
3297,APa nama tentara Belanda?,B
3298,Apa yang disepakati dalam Konferensi Yalta?,B
3299,Siapakah kepala Markas besar Pertempuran Indonesia ?,C
3300,Kebijakan kontroversial apakah yang diterapkan oleh Mahkamah Agung AS pada tahun 1973?,C
3301,Pada tanggal berapa meninggalnya Pangeran Diponegoro?,A
3302,YouTube menempati ranking ke berapa menurutu Alexa?,B
3303,Berapa banyak kah pekerja asing di Singapura yang bekerja di sektor jasa ?,B
3304,Darimanakah pembacaan cerita relief relief candi Borobudur dimulai ?,C
3305,Apakah keputusan Lee Hsien Loong yang terkenal selama menjabat perdana menteri ?,B
3306,Apakah arti Budur dalam istilah Buda Bahasa Jawa?,B
3307,Berapa pertumbuhan PDB Indonesia pada 2004-2005?,B
3308,Kemanakah masyarakat hindu lari sewaktu islam menyebar?,C
3309,Mengapa armijn pane membagi buku menjadi lima bab pembahasan?,B
3310,Mengapa Tirtokoesomo digantikan oleh Dirodjo ?,C
3311,Apa yang pejabat malaysia lakukan pada bulan Maret 2006?,B
3312,Perusahaan swasta apa saja yang mengelola bus kota?,B
3313,Apa kegunaan dari proxy server?,C
3314,Kapan malaikat pernah menampakkan wujudnya kepada Nabi Muhammad?,C
3315,Kapan Presiden Soeharto mengundurkan diri sebagai presiden?,A
3316,Kiai Madja dikenal ulama yang seperti apa?,C
3317,Mengapa AS dianggap menjadi negara dengan populasi terbanyak setelah RRC dan India?,C
3318,Apa yang britania raya lakukan pada tahun 1904?,B
3319,Apa saja negara dengan jumlah penduduk setara dengan malaysia?,B
3320,Mengapa presiden sulit dilengserkan dalam sistem pemerintah presidensial?,C
3321,Apa yang dimaksud dengan ramadan?,C
3322,Apa isi dari dekret presiden 5 juli 1959?,B
3323,Berapa ketinggian Pegunungan Sierra Nevada?,B
3324,Mengapa Jepang sering mengalami gempa bumi berkekuatan rendah?,C
3325,Siapa penerus dari kabinet burhanuddin harahap?,B
3326,Siapakah tokoh superhero yang menjadi ikon Amerika?,A
3327,Negara manakah yang memiliki sistem yudisial terburuk di asia ?,C
3328,Berapakah rakyar Indonesia yang terbunuh dalam pembantaian anti-PKI menurut para ahli ?,A
3329,Dimana Kiai Madja lahir?,B
3330,Apa kekurangan dari sistem parlementer?,C
3331,Apa yang ingin diyakinkan Belanda kepada AS?,B
3332,Apakah tugas PPKI ?,C
3333,Kapan terjadinya kegagalan pasukan Hindia Belanda di Plered?,B
3334,Apa salah satu indikator elemen makroekonomi yg stabil?,C
3335,"di sistem pabrik, tempat pemasaran berbeda dengan tempat produksi",C
3336,Inggris memperluas daerah kekuasaannya karena Belanda sedang dilanda perang dengan negara tetangganya,C
3337,Apakah pelaksanaan sistem tanam paksa tidak sesuai aturan?,C
3338,Apakah benar Kleopatra hidup sendirian?,C
3339,Daendels merupakan gubernur jenderal pemerihanan Belanda di Indonesia,C
3340,Apakah pada tahun 1885 terjadi krisis iklim?,C
3341,Apakah pada tahun 1945 Belanda secara resmi mengakui kemerdekaan Indonesia secara de facto?,B
3342,Apakah benar banyak perusahaan menggunakan buruh anak-anak dan wanita karena upahnya lebih murah,A
3343,"London, Birmingham, Liverpool, Manchester adalah kota kota yang menjadi pusat industri",B
3344,gerakan kapitalis bertentangan dengan gerakan sosialis,A
3345,Apakah Ptolemaios XIII meloloskan diri dengan naik kuda?,B
3346,Apakah Kleopatra tidak menikah?,A
3347,Apakah Yulius Kairsar membunuh semua kerumunan perusuh yang dihasut oleh Ptolemaios XIII?,C
3348,Apakah benar Ptolemaios XIII menyerah kepata Yulius Kaisar?,B
3349,"Pada tahun 65 SM, Apakah Markus Lisinius Krasus berpendapat tidak seharusnya Roma menganeksasi Mesir?",C
3350,Karena pembuatan barang menjadi cepat mudah dan jumlah banyak harga jadi lebih murah,A
3351,Daendels menyematkan nilai nilai sitem barat di Indonesia,B
3352,Apakah Kleopatra bersekongkol dengan Ptolemaios XIV berjalan lama?,B
3353,Sistem pabrik menempati tempat di daerah industri yang sudah ditentukan,A
3354,Benarkah Revolusi Industri menyebabkan meningkatnya pendapatan pekerja?,A
3355,Apakah Oktavianus berganti nama menjadi September?,A
3356,Apakah benar Revolusi Industri dimulai pada akhir abad ke-18?,A
3357,Apakah Malkos I memiliki hubungan baik dengan Kleopatra?,A
3358,Apakah Kleopatra menjadi penguasa tunggal?,A
3359,Pekerja mendapatkan gaji yang lebih kecil karena banyak pabrik yang menggunakan tenaga mesin,B
3360,Apakah Kleopatra gagal pergi ke Hermontis?,B
3361,Bosch menerapkan strategi tanam paksa yang hasilnya di ekspor,A
3362,waktu produksi yang lebih singkat karena menggunakan conveyor belt,C
3363,proses mekanisasi membuat barang barang yang dihasilkan melimpah ,A
3364,Apakah Ylius Kaisar membenci hubungan dengan perempuan bagsawan?,B
3365,Apakah KMB dilaksanakan di Inggris?,B
3366,Apakah Daendels melawat sistem kerja paksa dan merubah sistem yang sudah ada?,A
3367,Apakah Ptolemaios XII melawan penguasa Roma?,C
3368,Kaum buruh mendirikan organisasi dengan nama Partai Buruh,A
3369,Apakah Trilogi van Deventer ditulis oleh anak dari Deventer?,A
3370,Sistem tanam paksa merupakan gabungan dari sistem tanam wajib dan pajak tanah,A
3371, Apakah dalam perundingan wilayah Bali menjadi masalah?,C
3372,Apakah Jakarta menjadi ibukota sementara pada 1949?,A
3373,Thomas Stamford Raffles menerapkah sesuai nilai nilai liberal,A
3374,Apakah Kleopatra datang ke Antiokhia sendirian?,A
3375,Industri tekstil menjadi salah satu industri yang memanfaatkan tenaga mesin,A
3376,kerajinan rumah adalah pekerja yang bekerja di rumah masing masing,A
3377,Apakah Kleopatra diam saja atas pembunuhan utusan Bibulus?,B
3378,Tugas Johanes van den Bosch diangkan sebagau gubernur di Indonesia untuk mendapatkan dana sebanyak mungkin untuk mengisi kekosongan kas negara,A
3379,Benarkah Revolusi Industri dimulainya pekerjaan manusia digantikan mesin?,A
3380,gerakan sosialis biasanya dibentuk oleh kaum buruh,A
3381,Apakah Belanda mendapatkan dukungan dari dunia internasional untuk mengagalkan kemerdekaan Indonesia?,A
3382,"Apakah Revolusi Industri mengubah di bidang pertanian, manufaktur, pertambangan?",A
3383,Benarkah sistem hukum yang tidak rumit medukung terjadinya Revolusi Industri?,A
3384,"Ketika inggris menyerang Pulau Jawa, Daendels sudah tidak ada",B
3385,Apakah Guru Filostratos adalah guru ketika Kleopatra VII dewasa?,B
3386,Apakah hasil KMB berakhir dengan Indonesia menjadi milik Belanda?,A
3387,Engels dan Blanqui yang memperkenalkan Istilah Revolusi Industri,A
3388,Apakah utusan Bibulus berhasil selamat pulang ke asalnya?,A
3389,Apakah Belanda meminta maaf atas penjajahannya?,B
3390,Apakah Kleopatra tidak menemui Yulius Kaisar?,A
3391,Apakah Konferensi Inter-Indonesia diagendakan di Surakarta?,A
3392,Apakah Kelopatra VII lahir pada 96 SM?,A
3393,Apakah efek Revolusi Industri dirasakan dikehidupan sehari-hari?,A
3394,Apakah Akilas mendukung Kleopatra?,B
3395,Apa yang dilakukan oleh Syarif Hidayatullah di Cirebon?,B
3396,Topik apa yang dibicarakan pada surah Al-Baqarah?,C
3397,Kapan agama Islam mulai masuk ke Indonesia?,C
3398,Mengapa Luhut ditarik oleh Gusdur sebelum masa berlakunya berakhir ?,C
3399,Apa saja nama organisasi dunia yang dikritik oleh Jokowi?,B
3400,Jabatan apa yang Listyo miliki setelah menjadi Kapolres?,B
3401,Apakah yang diatur pada perintah Allah pertama sampai ketiga menurut St. Agustinus ?,B
3402,Kapan PLO memiliki status pengamat di PBB?,B
3403,Bagaimana pemerintah Bani Abbas mendapatkan perolehan dana?,B
3404,Siapa ayah dari Raden Patah?,C
3405,Siapakah yang mendukung Italia dalam invasinya ke Ethiopia?,A
3406,Bagiamana cara Lim Keng Yaik memberikan keuntungan yang lebih pada pengguna jasa broadband?,C
3407,"Apa yang menyebabkan Iredentisme dan revanchisme kehilangan teritori, koloni, dan keuangan?",C
3408,Kapan Jepang disebut Yamato?,B
3409,Apa imbas dari pesatnya pertumbuhan industri padat karya di malaysia?,B
3410,Berapa tahunkah masyarakat Jepang wajib sekolah sejak tahun 1947?,B
3411,Kapan Gencatan Senjata Mudros ditandatangani?,B
3412,Bagaimana proses denazifikasi di Jerman?,B
3413,Kapankah india menjadi mitra wicara penuh ASEAN ?,B
3414,Siapa yang menemani Jokowi pada Pilgub DKI 2012?,A
3415,Siapa presiden setelah Megawati?,A
3416,Siapa pemimpin dinasti ming?,B
3417,Berapa lamakah jangka waktu pembangunan jangka panjang ?,B
3418,Apa jenis kesenian yang digunakan oleh sunan kalijaga untuk berdakwah?,B
3419,Apa yang majapahit bangun pada masa jayanya?,B
3420,Kapankah Belanda mengakui kedaulatan Indonesia ?,A
3421,Apa peraturan yang menyatakan bahwa semua orang melayu adalah Muslim?,B
3422,Bagaimana cara kepala wilayah Jawa Timur dan Bali dipilih?,C
3423,Apa yang menjadi tulang punggung pertumbuhan malaysia?,B
3424,Siapakah kepala staf angkatan perang dalam ketetapan presiden yang baru ?,B
3425,Apa makna kemeja kotak-kotak yang dipakai Jokowi selama berkampanye?,B
3426,Bagaimana proses turunnya Al-Qur'an?,B
3427,Apakah tujuan amandemen UUD 1945 ?,C
3428,Apa bentuk apresiasi pemerintah daerah terhadap sosok Habibie?,B
3429,Apa yang menyebabkan jepang memiliki banyak sumber mata air panas?,C
3430,Siapa nama orang tua SBY?,A
3431,Mengapa Jusuf Kalla tidak memenuhi syarat pencalonan?,C
3432,Siapa yang menjadi wakil presiden?,C
3433,Kapankah militer berupaya mencegah kongres PKI ?,B
3434,Ada berapa banyak anggota di NCT 127?,B
3435,Kapanakah PBI berdiri ?,B
3436,Format file apa yang videonya bisa diupload dari handphone?,B
3437,Apakah arti dari Bhudhara ?,B
3438,Mengapa Jokowi tidak memasang spanduk dan poster di jalan?,B
3439,berapa lama visitor youtube menghabiskan waktunya sehari disitus tersebut?,B
3440,Berapa waktu yang dibutuhkan Italia untuk menguasai Perancis?,C
3441,Apa nama kelompok yang membantu membebaskan Paris dari pemberontak lokal?,B
3442,Apa inti dari amandemen Undang-Undang Netralitas pada November 1939?,C
3443,Kapan Surat Perintah Sebelas Maret turun?,C
3444,Apa pangkat yang didapat setelah perang berakhir?,C
3445,Mengapa jaminan pekerjaan seumur hidup mulai ditinggalkan oleh perusahaan Jepang ?,B
3446,Disebut apakah bahasa Inggris asli Singapura ?,B
3447,Apa jabatan dari Airlangga Hartanto sebelum diangkat sebagai Menteri Perindustrian?,B
3448,KApankah orang-orang Tiongkok mulai memainkan permainan bola basket ?,B
3449,Apa jataban yang diisi oleh warga biasa yang dipilih secara sembarang?,C
3450,Apakah yang dimaksud dengan agama tradisional ?,C
3451,Apa maksud dari Al-Qur'an bermakna mengumpulkan?,C
3452,Apa saja kekuatan kolonial yang terlibat dalam pertempuran pertama?,C
3453,Apakah akibat dari berubah ubahnya kabinet pada masa sistem demokrasi parlementer ?,C
3454,Bagaimana kondisi tubuh Nabi Muhammad setelah peristiwa di Gua Hira?,C
3455,Berapakah lowongan pekerjaan yang terbuka dari program layanan kesehatan Singapura ?,C
3456,Dimanakah eksekusi mati terbanyak dilakukan?,B
3457,Apa landasan yang berhasil disiapkan pada periode pemerintahan Bani Abbas?,B
3458,Pada tahun berapa MRT mulai dibangun?,B
3459,Kapankah permainan bola basket masuk ke Indonesia ?,C
3460,Kapankah sidang Pleno KNIP diselenggarakan ?,C
3461,Pada tahun berapa Nabi Muhammad SAW wafat?,C
3462,Apakah tujuan PKI membentuk angkatan ke-5 ?,C
3463,Berapa banyak jaringan jalan raya yang dimiliki AS?,B
3464,Apa nama sebutan jaman dulu untuk Pasar Minggu?,C
3465,Belanda mengakui kedaulatan Indonesia melalui apa?,C
3466,Berapa jumlah pembagian musim di jepang?,A
3467,Pada tanggal berapa malaysia terbentuk?,B
3468,Kapankah RIS bubar ?,B
3469,siapa mantan kekasih Nino?,B
3470,Pada tanggal berapa pasukan Pangeran Diponegoro menyerang Hindia Belanda di Pengasih?,B
3471,Siapakah yang membela Soetomo sehingga ia tidak jadi dikeluarkan ?,B
3472,Kapan Mehmed VI meninggalkan Turki?,B
3473,Siapa nama kakak Soekarno?,C
3474,Mengapa kedaulatan negara Palestina tidak kuat?,C
3475,Kapan Jerman menganeksasi Austria?,B
3476,Apa sebutan yang digunakan untuk merujuk hal - hal yang berhubungan dengan Amerika Serikat?,C
3477,Apa basis agama kerajaan Majapahit?,C
3478,Mengapa Yayasan Bung Karno didirikan?,C
3479,Gerakan apa yang muncul pada periode 1730-an dan 1740?,C
3480,Di mana kantor pusat yandex berada?,B
3481,Siapa yang berhasil mengalahkan pasukan Jerman dan Utsmaniyah di peperangan Romani?,B
3482,Apa fungsi Baghdad dalam peradaban Islam pada saat itu?,C
3483,Apakah yang dimaksdu dengan kekerabatan ?,C
3484,Kapan YouTube menggunakan HTML5?,B
3485,Apa nama bandara yang terletak di Langkawi?,A
3486,Kapankah Jepang menduduki Hindia ?,B
3487,Siapakah kepala staf angkatan perang Indonesia?,C
3488,di hotel apa Presiden Soekarno memperkenalkan lambang negara ke publik?,B
3489,Kapan Kesultanan Utsmaniyah bubar?,B
3490,SIapa saja murid dari Syekh Datuk Kahfi,B
3491,Kapan SBY membentuk UKP3R?,B
3492,Di mana syekh datuk kahfi dikebumikan?,B
3493,siapa yang dendamnya ingin dibalaskan oleh aldebaran?,B
3494,Mengapa Mahfud tidak jadi menjadi wakil dari Jokowi?,C
3495,Dalam bidang apa SBY meraih gelar doktor?,C
3496,Siapakah musuh Bani Umayah?,B
3497,Apa akibat yang diterima oleh Finlandia setelah menolak permintaan Soviet untuk menempatkan tentaranya?,B
3498,Kapan dibentuknya panitia lencana negara?,B
3499,Pada tanggal berapa SBY resmi dinyatakan pemenang pemilu?,B
3500,Kapankah revolusi proletar terjadi ?,B
3501,Apakah warga negara israel disebut dalam bahasa Inggris ?,A
3502,Siapakah Panglima Komando OPerasi Pemulihan Keamanan dan Ketertiban Indonesia ?,C
3503,Apa etnis yang banyak menetap di singapura?,A
3504,Berapakah kader PKI yang diasingkan pada pemberontakan di Jawa Barat dan Sumatra Barat ?,B
3505,Pada tahun berapa novel İntibâh release?,B
3506,Di mana kita dapat menyaksikan pengaruh gaya estetika dan bangunan Majapahit?,C
3507,Apa yang terjadi pada Jokowi setelah terpilih menjadi gubernur?,C
3508,Apa saja negara dengan luas wilayah setara dengan malaysia?,C
3509,Apa nama versi mandarin dari Without You?,C
3510,Hal apa yang mungkin terjadi pada sistem demokrasi?,C
3511,Jabatan apakah yang juga dimiliki presiden selain kepala negara?,B
3512,Bagaimana penerapan tenaga nuklir di Amerika?,C
3513,Berapa banyak pangkalan militer yang dimiliki AS diluar negeri?,B
3514,Khalifah Al-Mutawakkil III menyerahkan kedudukan khalifah kepada siapa?,B
3515,Berapa perkiraan penduduk Jepang yang menganut Buddha atau Shinto ?,B
3516,Siapakah yang memerintahkan pembantaian Yahudi pada tahun 628 ?,B
3517,Berapakah relung yang terdapat pada barisan langkan kedua pada tingkat Rupadhatu ?,C
3518,Mengapa surah ini memerintahkan untuk melaksanakan salat dan berkorban?,C
3519,Organisasi sosial apa yang dimasuk Hatta sewaktu bersekolah di Belanda ?,B
3520,Apakah isi undang undang nomor 3 tahun 1948 ?,B
3521,Kepada siapa Habibie menyerahkan pucuk pimpinan perusahaan PT. Regio Aviasi Industri?,B
3522,Kapan Soeharto dipecat oleh Jendral Nasution?,B
3523,Bagaimana pergeseran arah politik AS yang terjadi di era Ronald Reagan?,B
3524,Kapankah Hatta menulis artikel koran yang berisi seruan kepada rakyat agar jangan memihak barat maupun Jepang ?,B
3525,Mengapa Jokowi membebaskan tahanan politik dan membolehkan wartawan melakukan peliputan di Papua?,C
3526,Mengapa ancaman kapal-u berkurang pada tahun 1917?,C
3527,Apakah yang menjadi pembenaran pembantaian PKI di pulau Bali ?,B
3528,Jabatan apa yang diemban Habibie di PT. Regio Aviasi Industri?,B
3529,Tempat apa saja pasar pasar tradisional dan pusat grosir?,C
3530,Mengapa pemimpin FDR di madiun merasa gelisah?,B
3531,Apa yang menjadi bukti bahwa sudah ada manusia yang mendiami Palestina sejak zaman batu?,C
3532,Apa nama permainan anak-anak yang cukup populer di Inggris pada zaman pertengahan?,B
3533,Siapa yang menyusui Nabi Muhammad SAW?,A
3534,Mengapa naskah proklamasi tersebut sempat masuk ke tempat sampah?,B
3535,Mengapa perwira militer mengetahui lokasi penyimpanan senjata?,B
3536,Apa yang menjadi dasar Soekarno-Hatta mendirikan negara Indonesia?,C
3537,Mengapa Malaysia memiliki status salah satu tempat terburuk bagi para pengungsi?,C
3538,Apakah urusan yang tidak diserahkan kepada pemerintah Singapura ?,B
3539,Apa anggapan dari pihak yang pro terhadap pengangkatan B.J Habibie?,B
3540,Apa yang dikenal dari Trowulan?,C
3541,Pada tahun berapa krisis moneter terjadi di Asia?,A
3542,Siapakah presiden RIS ?,C
3543,Mengapa Austria-Hongaria mendeklarasikan perang pada tanggal 28 Juli 1914?,B
3544,Pasar apa yang buka dihari sabtu?,B
3545,Apa yang dicegah oleh sekutu dengan menyerbu Suriah dan Lebanon?,B
3546,Apa tujuan pokok dari rasionalisasi hatta?,C
3547,Apa hasil dari test ini?,C
3548,Dimana Mark Lee lahir?,B
3549,Berapa populasi Izmir pada tahun 1914?,B
3550,Siapakah yang memimpin PKI pasca 1965 ?,C
3551,Agama apa yang dianut kerajaan Pajajaran?,A
3552,Apakah usul cipto pada rapat pengurus besar ?,C
3553,Mengapa Soekarno membuat sidang pleno tahunan gempar?,C
3554,Siapa sajakah menteri yang ditemui Soedirman di desa Jambu ?,C
3555,Kapan Abraham Lincoln menjabat sebagai presiden AS?,B
3556,Negara manakah yang menyetujui Pakta Netralitas bersama Soviet?,C
3557,Berapakah gaji tahanan bila tidak mau bekerja sama dengan penguasa setempat ?,B
3558,Siapa kompetitor Jokowi dalam Pemilihan Umum DKI Jakarta?,C
3559,Dimana sajakah poros yang dimiliki Partai Komunis sedunia?,C
3560,Apa saja hal yang dilakukan pemerintah untuk mengembangkan sektor pertanian ?,C
3561,Di mana ibu Soekarno dimakamkan?,C
3562,Apa yang dilakukan oleh Soekarno dan tokoh-tokoh nasional?,C
3563,Mengapa FDR melakukan perjalanan ke Jawa Tengah dan Jawa Timur?,B
3564,Mengapa pemeringkatan Amerika dalam kategori negara terluas kadang bervariasi?,C
3565,Apakah arti Bhinneka Tunggal Ika seacara harfiah ?,B
3566,Apa sebutan bagi kepala pemerintah di tingkat provinsi?,A
3567,Dimana Operasi Bagration dilakukan?,A
3568,apa nama pusat organisasi voli di Indonesia?,A
3569,Apa sereal utama di AS?,C
3570,Apakah yang dimaksud dengan budaya ?,C
3571,Apakah balasan Israel terhadap serangan roket Hamas ?,B
3572,Apa agama yang dianut oleh penduduk Majapahit?,C
3573,UUD 1945 merupakan singkatan dari?,C
3574,Siapakah perkiraan raja yang membangun candi Borobudur ?,A
3575,Berapakah luas wilayah daratan ASEAN ?,B
3576,Berapa jumlah ayat dari surat al kausar?,C
3577,Kapankah Singapura merdeka secara resmi ?,C
3578,Berapakah kelembapan relatif rata rata di Singapura saat pagi hari ?,A
3579,Kapan poros Roma-Berlin dibentuk?,B
3580,Berapa lama perang balkan kedua berlangsung?,B
3581,Dimanakah para pemimpin Sekutu bertemu pada tanggal 11 Juli?,A
3582,Bagaimana Soeharto menggambarkan Sukirah ?,C
3583,Apa kebudayaan yang berkembang pesat pada periode Heian?,C
3584,Apa tradisi yang dimiliki oleh keraton di Jawa Tengah?,C
3585,Ras keturunan apakah yang dianggap sebagai minoritas terbesar kedua di Amerika?,B
3586,Apa yang negeri melayu upayakan pada abad ke-19?,C
3587,Apa nama sekolah di malaysia yang menggunakan kurikulum Jepang?,B
3588,Rute mana saja Tol Lingkar Luar tahap II?,B
3589,Kapankah Mohammad Hatta bersekolah di MULO ?,A
